&
B_ C.23_C 58.6425 167.799
3.1 0.499088 0 0.258634
3.3 0.499088 0 0.337428
3.5 0.104118 0.333333 0.439954
3.7 -0.284448 2.66667 0.547369
3.95 0 1.5 1.18831
4.25 0.292891 0.333333 1.28262
4.55 -0.263158 2 1.15089
4.85 -0.121476 2 1.27333
&
C.11_ C.31 116.172 94.4716
1.55 6.99734 0 0.00106572
1.65 6.99734 0 0.00458359
1.75 6.99734 0 0.0133118
1.85 6.99734 0 0.0355199
1.95 6.99734 0 0.0814054
2.05 6.99734 0 0.141917
2.15 6.99734 0 0.203011
2.25 6.99734 0 0.291806
2.35 6.99734 0 0.395525
2.45 6.99734 0 0.535947
2.55 6.99734 0 0.650919
2.65 6.99734 0 0.843283
2.75 6.99734 0 0.988492
2.9 6.99734 0 2.52536
3.1 0.382963 0.658333 3.50342
3.3 -0.282688 6.36786 4.5708
3.5 -0.21804 9.89612 5.95965
3.7 0 8.66071 7.41473
3.95 -0.204125 31.2869 16.0972
4.25 -0.0814589 22.3783 17.3748
4.55 -0.177594 20.976 15.5902
4.85 0 15.9481 17.2489
&
C.11_ C.32 106.346 121.473
1.55 7.07328 0 0.00136746
1.65 7.07328 0 0.00589078
1.75 7.07328 0 0.0171136
1.85 7.07328 0 0.045669
1.95 7.07328 0 0.104669
2.05 7.07328 0 0.182476
2.15 7.07328 0 0.26103
2.25 7.07328 0 0.375205
2.35 7.07328 0 0.508567
2.45 7.07328 0 0.689124
2.55 7.07328 0 0.836955
2.65 7.07328 0 1.0843
2.75 7.07328 0 1.27101
2.9 2.42059 0.00877193 3.24713
3.1 3.38547 0.0175439 4.50473
3.3 0.255695 4.3208 5.87718
3.5 0.227967 4.96316 7.66298
3.7 0.330661 6.16654 9.53393
